Date,Description,Amount,Category
2026-05-11,SPOTIFY INDIA MON-PAYMENT,119.0,Entertainment
2026-05-12,SPOTIFY INDIA MON-PAYMENT,119.0,Entertainment
2026-05-13,Uber Ride,749.0,One-Time Spend
2026-05-14,CHATGPT PLUS SUBSCRIPTION,1999.0,AI Tool
2026-05-15,CHATGPT PLUS SUBSCRIPTION,1999.0,AI Tool
2026-05-15,Swiggy Order,1197.0,One-Time Spend
2026-05-17,Uber Ride,2305.0,One-Time Spend
2026-05-17,Swiggy Order,1934.0,One-Time Spend
2026-05-17,Zomato Payment,970.0,One-Time Spend
2026-05-20,AWS WEB SERVICES MONTHLY,820.0,Cloud/SaaS
2026-05-20,AWS WEB SERVICES MONTHLY,820.0,Cloud/SaaS
2026-05-22,Amazon Retail,1071.0,One-Time Spend
2026-05-22,Swiggy Order,1852.0,One-Time Spend
2026-05-22,Petrol Pump UPI,675.0,One-Time Spend
2026-05-26,Amazon Retail,1413.0,One-Time Spend
2026-05-27,Uber Ride,1849.0,One-Time Spend
2026-05-29,Local Grocery Store,841.0,One-Time Spend
2026-05-29,Swiggy Order,502.0,One-Time Spend
2026-05-30,Petrol Pump UPI,1546.0,One-Time Spend
2026-05-31,Swiggy Order,748.0,One-Time Spend
2026-05-31,Zomato Payment,691.0,One-Time Spend
2026-06-02,CULT FIT GYM AUTODEBIT,1500.0,Fitness
2026-06-02,Petrol Pump UPI,1095.0,One-Time Spend
2026-06-03,BookMyShow,2350.0,One-Time Spend
2026-06-04,NETFLIX RECURRING AUTOPAY,649.0,Entertainment
2026-06-04,Petrol Pump UPI,2196.0,One-Time Spend
2026-06-08,Amazon Retail,1022.0,One-Time Spend
2026-06-10,Swiggy Order,816.0,One-Time Spend
2026-06-11,SPOTIFY INDIA MON-PAYMENT,119.0,Entertainment
2026-06-11,Local Grocery Store,1230.0,One-Time Spend
2026-06-11,Swiggy Order,1110.0,One-Time Spend
2026-06-14,Uber Ride,1459.0,One-Time Spend
2026-06-15,Zomato Payment,2088.0,One-Time Spend
2026-06-15,BookMyShow,2435.0,One-Time Spend
2026-06-15,BookMyShow,1268.0,One-Time Spend
2026-06-16,CHATGPT PLUS SUBSCRIPTION,1999.0,AI Tool
2026-06-16,Amazon Retail,1545.0,One-Time Spend
2026-06-16,Swiggy Order,1356.0,One-Time Spend
2026-06-16,Uber Ride,1711.0,One-Time Spend
2026-06-16,Petrol Pump UPI,502.0,One-Time Spend
2026-06-17,Local Grocery Store,1757.0,One-Time Spend
2026-06-18,Swiggy Order,1078.0,One-Time Spend
2026-06-18,Amazon Retail,2249.0,One-Time Spend
2026-06-19,Petrol Pump UPI,2328.0,One-Time Spend
2026-06-21,AWS WEB SERVICES MONTHLY,820.0,Cloud/SaaS
2026-06-21,Petrol Pump UPI,1179.0,One-Time Spend
2026-06-21,Amazon Retail,1101.0,One-Time Spend
2026-06-22,Swiggy Order,85.0,One-Time Spend
2026-06-26,BookMyShow,2241.0,One-Time Spend
2026-06-29,BookMyShow,442.0,One-Time Spend
2026-06-30,Uber Ride,590.0,One-Time Spend
2026-07-01,CULT FIT GYM AUTODEBIT,1500.0,Fitness
2026-07-01,Zomato Payment,673.0,One-Time Spend
2026-07-02,Swiggy Order,509.0,One-Time Spend
2026-07-03,Zomato Payment,1629.0,One-Time Spend
2026-07-03,Petrol Pump UPI,387.0,One-Time Spend
2026-07-04,Zomato Payment,2036.0,One-Time Spend
2026-07-04,Amazon Retail,1784.0,One-Time Spend
2026-07-05,NETFLIX RECURRING AUTOPAY,649.0,Entertainment
2026-07-05,Amazon Retail,2005.0,One-Time Spend
2026-07-08,Petrol Pump UPI,1801.0,One-Time Spend
2026-07-09,Local Grocery Store,1579.0,One-Time Spend
2026-07-11,Swiggy Order,813.0,One-Time Spend
2026-07-12,Swiggy Order,367.0,One-Time Spend
2026-07-13,SPOTIFY INDIA MON-PAYMENT,119.0,Entertainment
2026-07-15,Petrol Pump UPI,2327.0,One-Time Spend
2026-07-15,Local Grocery Store,1119.0,One-Time Spend
2026-07-16,CHATGPT PLUS SUBSCRIPTION,1999.0,AI Tool
2026-07-17,Petrol Pump UPI,1489.0,One-Time Spend
2026-07-17,BookMyShow,1234.0,One-Time Spend
2026-07-19,Zomato Payment,2031.0,One-Time Spend
2026-07-20,AWS WEB SERVICES MONTHLY,820.0,Cloud/SaaS
2026-07-22,Swiggy Order,1307.0,One-Time Spend
2026-07-23,Amazon Retail,303.0,One-Time Spend
2026-07-26,Amazon Retail,210.0,One-Time Spend
2026-07-27,BookMyShow,587.0,One-Time Spend
2026-07-29,Local Grocery Store,825.0,One-Time Spend
2026-07-29,BookMyShow,1681.0,One-Time Spend
2026-07-30,Amazon Retail,2418.0,One-Time Spend
2026-08-01,Uber Ride,2303.0,One-Time Spend
2026-08-02,BookMyShow,1550.0,One-Time Spend
2026-08-04,BookMyShow,1488.0,One-Time Spend
2026-08-05,BookMyShow,913.0,One-Time Spend
2026-08-06,Swiggy Order,1903.0,One-Time Spend
